year,datanum,serial,hhwt,region
2014,1,220,34600,32
2014,1,221,11800,32
2014,1,221,11800,32
2014,1,222,9400,32
2014,1,222,9400,32
2014,1,223,3500,32
2014,1,223,3500,32
2014,1,224,29100,32
2014,1,224,29100,32
2014,1,225,4500,32
2014,1,225,4500,32
2014,1,225,4500,32
2014,1,226,5400,32
2014,1,227,2300,32
2014,1,227,2300,32
2014,1,228,4400,32
2014,1,228,4400,32
2014,1,229,10500,32
2014,1,229,10500,32
2014,1,229,10500,32
2014,1,229,10500,32
2014,1,230,1900,32
2014,1,230,1900,32
2014,1,231,9900,32
2014,1,231,9900,32
2014,1,231,9900,32
2014,1,232,14600,32
2014,1,232,14600,32
2014,1,232,14600,32
2014,1,232,14600,32
